"ind1" "ind2" "x1" "y1" "x2" "y2" "idD" "id" "tree" "year" "DOY" "date"
1 5 141.008224818171 0 187.454003317906 4.63178233010957 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
1 3 141.008224818171 0 105.127306560982 3.25425951960533 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
10 2 77.7735280824753 18.605263361334 78.6210225409777 3.24902016376749 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
13 5 208.928155730863 20.0483823490864 187.454003317906 4.63178233010957 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
31 42 69.7822985771818 74.8593040250386 65.2018599426085 98.286493931532 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
20 29 232.489620196962 35.0889592400424 241.300860944724 69.1538665859457 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
52 42 64.631179570944 108.058690660692 65.2018599426085 98.286493931532 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
47 29 237.54462529844 102.335214038537 241.300860944724 69.1538665859457 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
61 47 237.385059435847 116.985502388446 237.54462529844 102.335214038537 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
111 107 60.1480082803739 219.896015003593 58.9217168402018 205.961707474916 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
101 87 242.23314420278 195.220351727425 244.637337932469 165.369766448236 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
135 119 245.843661423713 258.648966448206 245.894992187936 235.629377938577 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
174 161 242.286242556871 334.11527850866 246.422014443383 303.370226859611 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
190 193 244.202510119357 401.402124701872 243.350515563575 416.410396996741 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
193 198 243.350515563575 416.410396996741 243.541045544387 431.143165043731 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
190 188 244.202510119357 401.402124701872 245.036478423392 384.999968963437 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
207 189 58.1683585212149 444.352381932293 54.8317911878544 402.106995871447 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
187 189 50.8022068733079 387.162854168025 54.8317911878544 402.106995871447 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
221 207 57.370468583304 463.544304390634 58.1683585212149 444.352381932293 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
236 221 55.8701369099429 482.397282003465 57.370468583304 463.544304390634 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
215 261 242.733142564215 449.638158711603 235.831190848156 536.220649432933 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
261 269 235.831190848156 536.220649432933 234.064058130218 561.35460230464 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
275 269 235.703589020169 580.253981248428 234.064058130218 561.35460230464 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
301 275 248.490833269616 652.108633356033 235.703589020169 580.253981248428 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
215 198 242.733142564215 449.638158711603 243.541045544387 431.143165043731 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
283 294 47.5646874051331 595.243117750838 49.0638166398723 630.274661130163 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
310 314 42.1365388585087 687.910058999353 45.5042728323226 705.653993396257 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
329 344 47.3952143295044 743.993746737329 46.6176136232952 764.754538006972 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
365 373 36.5651373887219 823.477439728135 31.5916234281391 843.421421373832 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
338 381 243.560482035165 756.279099274666 221.787808411498 852.645706049405 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
381 392 221.787808411498 852.645706049405 214.418590042091 876.107961474321 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
424 420 203.512380076791 976.693403344369 204.359861603979 961.336160230415 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
373 419 31.5916234281391 843.421421373832 30.1795459729074 949.987591701288 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
507 497 194.712443849779 1132.26920623287 193.519443990768 1093.92042683461 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
503 505 21.1082956727253 1111.49539902958 19.9524217898554 1129.99489279473 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
503 466 21.1082956727253 1111.49539902958 22.0484386174115 1049.40305002228 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
566 514 186.653891923607 1264.20644555844 190.788616200101 1179.40288746588 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
505 518 19.9524217898554 1129.99489279473 14.8221287516425 1191.79340137982 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
518 536 14.8221287516425 1191.79340137982 18.8329475558834 1232.19791456238 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
586 557 17.2174151846828 1296.0431438059 19.1756791027436 1258.69969848511 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
612 586 18.797714277543 1337.35116234682 17.2174151846828 1296.0431438059 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
629 566 178.269647717249 1371.03679725255 186.653891923607 1264.20644555844 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
612 632 18.797714277543 1337.35116234682 23.8376565718431 1376.52126439762 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
678 674 23.0259605429277 1502.52329609377 21.1485581315278 1465.23045520995 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
690 716 20.1858629751859 1525.57895003821 19.2757616466332 1563.08285465588 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
690 678 20.1858629751859 1525.57895003821 23.0259605429277 1502.52329609377 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
649 696 179.141728982498 1411.48190182983 180.689658996283 1531.17589302685 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
706 696 178.782725842444 1545.49974983802 180.689658996283 1531.17589302685 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
725 745 177.717047874884 1570.97366040293 174.603636401197 1599.96134464979 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
784 775 5.8932012193967 1687.93934836531 10.4681398403029 1664.16420048743 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
761 775 10.4225245432964 1633.64823882399 10.4681398403029 1664.16420048743 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
795 812 177.007948891425 1704.90902871404 174.511296266473 1727.61021182573 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
827 818 173.218408732666 1762.50384811983 173.292291708544 1741.22811378924 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
832 827 173.412326717752 1777.49859426023 173.218408732666 1762.50384811983 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
834 874 8.17475254039918 1783.47183266028 5.97951374034621 1856.39131699479 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
878 869 177.94075595449 1858.00476707727 176.031036015688 1845.12438529895 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
794 834 6.48005649124514 1706.32929719313 8.17475254039918 1783.47183266028 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
895 886 182.671068692169 1900.14412131299 179.244704140576 1877.86656601715 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
895 944 182.671068692169 1900.14412131299 184.981922370748 1997.94241614105 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
944 966 184.981922370748 1997.94241614105 191.663533427019 2056.09987684639 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
338 301 243.560482035165 756.279099274666 248.490833269616 652.108633356033 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
970 966 191.785294679858 2065.51508954698 191.663533427019 2056.09987684639 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
930 940 0 1960.40133654786 1.46305086861554 1992.64311320728 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
1042 1074 5.22270293409753 2148.49252699298 3.37717421168749 2194.55324337619 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
1033 1047 182.230602826144 2135.74051602187 181.789709848119 2155.6258800211 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
1047 1069 181.789709848119 2155.6258800211 180.112760114176 2187.73324977619 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
1087 1081 5.33575941252249 2238.12355933799 4.74777911635407 2219.64661778449 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
1074 1081 3.37717421168749 2194.55324337619 4.74777911635407 2219.64661778449 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
1107 1085 184.920790222715 2289.85961471431 180.023624740199 2234.81833933631 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
1118 1107 186.187673057605 2306.93265978198 184.920790222715 2289.85961471431 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
1118 1136 186.187673057605 2306.93265978198 180.357651512646 2341.53594290346 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
1096 1106 10.5826220413673 2266.30506684831 16.8448447212516 2292.03323928841 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
1172 1187 11.1387570634694 2390.19723427965 8.93697063973127 2408.71025419927 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
1159 1136 179.035310650702 2374.07476317472 180.357651512646 2341.53594290346 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
1186 1209 185.37770327232 2406.07942370773 182.268078499984 2462.27133361276 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
1232 1243 24.1835737780703 2508.95747755106 24.0961517164103 2529.18629942439 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
1232 1212 24.1835737780703 2508.95747755106 19.865362534535 2471.69520208838 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
1243 1267 24.0961517164103 2529.18629942439 22.0341657285727 2558.50941540455 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
1266 1229 194.292386153323 2556.02068217294 192.188362463674 2501.20430660584 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
1290 1306 20.4338857554709 2596.54528941854 22.5475367216191 2625.11734612773 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
1443 1451 33.5038260131418 2798.13713360292 34.019649577063 2811.0345417166 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
1433 1479 206.612915969354 2780.55313535076 209.797792610362 2838.05775884124 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
1516 1496 210.882557371002 2868.03723807978 209.973671412386 2851.65762162169 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
1514 1503 53.249697927933 2868.68069188661 45.1076202657739 2859.37020117219 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
1524 1521 131.780293971099 2873.24556977163 117.107466340848 2871.34314964638 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
1521 1520 117.107466340848 2871.34314964638 96.180702829342 2871.26475364191 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
1527 1525 177.16210781559 2876.49499497986 149.238388223977 2874.76394062805 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
1524 1525 131.780293971099 2873.24556977163 149.238388223977 2874.76394062805 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
1527 1528 177.16210781559 2876.49499497986 197.428007971436 2879.37217083012 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
2 3 78.6210225409777 3.24902016376749 105.127306560982 3.25425951960533 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
18 10 75.5401763212076 34.6774873801325 77.7735280824753 18.605263361334 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
25 18 72.9939321069784 53.5439911474314 75.5401763212076 34.6774873801325 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
16 13 220.525376497182 26.8729856706912 208.928155730863 20.0483823490864 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
20 16 232.489620196962 35.0889592400424 220.525376497182 26.8729856706912 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
98 52 58.0534093449886 192.719828639427 64.631179570944 108.058690660692 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
112 101 243.573183686304 217.872917303593 242.23314420278 195.220351727425 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
111 131 60.1480082803739 219.896015003593 58.55675436446 258.629830655748 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
119 112 245.894992187936 235.629377938577 243.573183686304 217.872917303593 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
107 98 58.9217168402018 205.961707474916 58.0534093449886 192.719828639427 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
145 131 57.4324458191198 279.570120321721 58.55675436446 258.629830655748 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
161 135 246.422014443383 303.370226859611 245.843661423713 258.648966448206 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
156 145 57.3687139247495 301.630789016157 57.4324458191198 279.570120321721 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
156 175 57.3687139247495 301.630789016157 52.2411341152406 336.573016983147 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
179 175 50.7453154704735 355.774965415063 52.2411341152406 336.573016983147 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
182 174 242.701130835978 366.196595871198 242.286242556871 334.11527850866 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
188 182 245.036478423392 384.999968963437 242.701130835978 366.196595871198 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
248 236 61.4253918944693 507.436538862584 55.8701369099429 482.397282003465 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
248 283 61.4253918944693 507.436538862584 47.5646874051331 595.243117750838 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
187 179 50.8022068733079 387.162854168025 50.7453154704735 355.774965415063 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
305 294 43.5366615742997 661.385735796287 49.0638166398723 630.274661130163 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
310 305 42.1365388585087 687.910058999353 43.5366615742997 661.385735796287 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
329 314 47.3952143295044 743.993746737329 45.5042728323226 705.653993396257 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
344 356 46.6176136232952 764.754538006972 40.1122026518218 801.110701364679 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
412 392 210.159317727795 924.2920682768 214.418590042091 876.107961474321 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
420 412 204.359861603979 961.336160230415 210.159317727795 924.2920682768 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
421 419 26.945373162769 969.560050316244 30.1795459729074 949.987591701288 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
424 435 203.512380076791 976.693403344369 202.929822379987 1012.53593348009 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
442 421 22.3901225542536 1021.8463275015 26.945373162769 969.560050316244 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
465 435 196.392846070984 1046.45130093697 202.929822379987 1012.53593348009 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
465 497 196.392846070984 1046.45130093697 193.519443990768 1093.92042683461 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
466 442 22.0484386174115 1049.40305002228 22.3901225542536 1021.8463275015 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
507 514 194.712443849779 1132.26920623287 190.788616200101 1179.40288746588 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
557 536 19.1756791027436 1258.69969848511 18.8329475558834 1232.19791456238 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
651 632 22.273467896179 1417.3479050479 23.8376565718431 1376.52126439762 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
761 744 10.4225245432964 1633.64823882399 14.5367441345399 1601.15932006459 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
674 651 21.1485581315278 1465.23045520995 22.273467896179 1417.3479050479 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
744 716 14.5367441345399 1601.15932006459 19.2757616466332 1563.08285465588 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
725 706 177.717047874884 1570.97366040293 178.782725842444 1545.49974983802 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
753 745 173.398157997735 1614.62515915417 174.603636401197 1599.96134464979 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
753 771 173.398157997735 1614.62515915417 176.311209691877 1651.03353377907 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
784 794 5.8932012193967 1687.93934836531 6.48005649124514 1706.32929719313 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
812 818 174.511296266473 1727.61021182573 173.292291708544 1741.22811378924 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
880 874 3.74066196541149 1872.11558304221 5.97951374034621 1856.39131699479 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
842 832 175.426755711403 1798.39829253148 173.412326717752 1777.49859426023 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
869 842 176.031036015688 1845.12438529895 175.426755711403 1798.39829253148 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
886 878 179.244704140576 1877.86656601715 177.94075595449 1858.00476707727 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
898 880 8.35371354753246 1905.18769548004 3.74066196541149 1872.11558304221 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
898 930 8.35371354753246 1905.18769548004 0 1960.40133654786 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
968 940 2.02151335365949 2062.73775237214 1.46305086861554 1992.64311320728 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
983 968 1.58512047291441 2082.97108727407 2.02151335365949 2062.73775237214 "St.Fs.55.06_28_2018" "Fs.55" 55 2018 179 "06_28_2018"
