"idD" "idV" "idCNeigh" "distance" "idSectorCN"
"1309" "St.Fs.55.06_28_2018" 1298 1309 26.1872763948078 "c2.l85"
"1317" "St.Fs.55.06_28_2018" 1298 1317 37.1070092281032 "c4.l86"
"1318" "St.Fs.55.06_28_2018" 1298 1318 31.5775500479267 "c3.l86"
"1257" "St.Fs.55.06_28_2018" 1278 1257 36.158595630202 "c4.l82"
"1259" "St.Fs.55.06_28_2018" 1278 1259 34.8584772734605 "c3.l82"
"1262" "St.Fs.55.06_28_2018" 1278 1262 31.8199364083268 "c5.l83"
"1264" "St.Fs.55.06_28_2018" 1278 1264 35.5110027290189 "c2.l83"
"1271" "St.Fs.55.06_28_2018" 1278 1271 41.6401884452453 "c2.l83"
"1277" "St.Fs.55.06_28_2018" 1278 1277 45.6860803392159 "c6.l83"
"12811" "St.Fs.55.06_28_2018" 1278 1281 41.9411076478184 "c2.l84"
"12961" "St.Fs.55.06_28_2018" 1278 1296 47.4441968277979 "c5.l85"
"1298" "St.Fs.55.06_28_2018" 1278 1298 41.2458593985947 "c3.l85"
"1242" "St.Fs.55.06_28_2018" 1258 1242 38.940235726471 "c6.l81"
"1246" "St.Fs.55.06_28_2018" 1258 1246 33.9084942833552 "c7.l81"
"1249" "St.Fs.55.06_28_2018" 1258 1249 33.7576989974612 "c5.l82"
"1254" "St.Fs.55.06_28_2018" 1258 1254 29.8147821065752 "c7.l82"
"1260" "St.Fs.55.06_28_2018" 1258 1260 31.1708804743247 "c7.l82"
"12621" "St.Fs.55.06_28_2018" 1258 1262 26.3086108888323 "c5.l83"
"1272" "St.Fs.55.06_28_2018" 1258 1272 32.5961499235388 "c6.l83"
"12771" "St.Fs.55.06_28_2018" 1258 1277 33.3204219450724 "c6.l83"
"1240" "St.Fs.55.06_28_2018" 1252 1240 27.4624879568479 "c8.l81"
"1243" "St.Fs.55.06_28_2018" 1252 1243 29.6040737159652 "c7.l81"
"12461" "St.Fs.55.06_28_2018" 1252 1246 24.6752456407821 "c7.l81"
"12541" "St.Fs.55.06_28_2018" 1252 1254 19.5831520589005 "c7.l82"
"1263" "St.Fs.55.06_28_2018" 1252 1263 26.5313942882364 "c7.l82"
"1266" "St.Fs.55.06_28_2018" 1252 1266 32.1410728597229 "c8.l82"
"1229" "St.Fs.55.06_28_2018" 1247 1229 31.6473112885371 "c2.l81"
"1232" "St.Fs.55.06_28_2018" 1247 1232 33.3829351080984 "c1.l81"
"1235" "St.Fs.55.06_28_2018" 1247 1235 34.7434474892117 "c2.l81"
"1241" "St.Fs.55.06_28_2018" 1247 1241 27.8857481943596 "c1.l81"
"1250" "St.Fs.55.06_28_2018" 1247 1250 33.8084124091588 "c3.l82"
"1255" "St.Fs.55.06_28_2018" 1247 1255 26.5386930058854 "c2.l82"
"1261" "St.Fs.55.06_28_2018" 1247 1261 33.1890226745926 "c2.l83"
"1265" "St.Fs.55.06_28_2018" 1247 1265 37.8550640291892 "c1.l83"
"1151" "St.Fs.55.06_28_2018" 1172 1151 45.3503890554316 "c8.l76"
"1155" "St.Fs.55.06_28_2018" 1172 1155 39.5572943128563 "c6.l76"
"1161" "St.Fs.55.06_28_2018" 1172 1161 33.7091354728705 "c8.l77"
"1167" "St.Fs.55.06_28_2018" 1172 1167 49.652090337436 "c4.l77"
"1168" "St.Fs.55.06_28_2018" 1172 1168 29.532921032994 "c8.l77"
"1177" "St.Fs.55.06_28_2018" 1172 1177 32.1543794976831 "c8.l78"
"1180" "St.Fs.55.06_28_2018" 1172 1180 38.2588812199569 "c5.l78"
"1186" "St.Fs.55.06_28_2018" 1172 1186 39.7638742307348 "c6.l78"
"1187" "St.Fs.55.06_28_2018" 1172 1187 35.1533322578673 "c7.l78"
"1193" "St.Fs.55.06_28_2018" 1172 1193 39.7159619189905 "c7.l79"
"1194" "St.Fs.55.06_28_2018" 1172 1194 42.5353527142931 "c6.l79"
"1123" "St.Fs.55.06_28_2018" 1142 1123 55.7980918468877 "c5.l74"
"1129" "St.Fs.55.06_28_2018" 1142 1129 61.1114839651225 "c2.l74"
"1134" "St.Fs.55.06_28_2018" 1142 1134 48.94675230499 "c6.l74"
"1144" "St.Fs.55.06_28_2018" 1142 1144 48.8840330644733 "c7.l75"
"1147" "St.Fs.55.06_28_2018" 1142 1147 45.6038371849886 "c7.l76"
"1152" "St.Fs.55.06_28_2018" 1142 1152 51.4730318771333 "c2.l76"
"11551" "St.Fs.55.06_28_2018" 1142 1155 43.8476923100971 "c6.l76"
"1157" "St.Fs.55.06_28_2018" 1142 1157 47.2858964715632 "c3.l77"
"1164" "St.Fs.55.06_28_2018" 1142 1164 52.5012233766879 "c3.l77"
"11671" "St.Fs.55.06_28_2018" 1142 1167 55.9068507935257 "c4.l77"
"1117" "St.Fs.55.06_28_2018" 1134 1117 46.176065062955 "c5.l73"
"1121" "St.Fs.55.06_28_2018" 1134 1121 31.0448245255722 "c6.l73"
"11232" "St.Fs.55.06_28_2018" 1134 1123 50.7961309133973 "c5.l74"
"1126" "St.Fs.55.06_28_2018" 1134 1126 22.923795741769 "c7.l74"
"1131" "St.Fs.55.06_28_2018" 1134 1131 15.31257846247 "c7.l74"
"1138" "St.Fs.55.06_28_2018" 1134 1138 22.4529267279763 "c7.l75"
"1142" "St.Fs.55.06_28_2018" 1134 1142 48.94675230499 "c5.l76"
"11441" "St.Fs.55.06_28_2018" 1134 1144 29.9457151247783 "c7.l75"
"1104" "St.Fs.55.06_28_2018" 1129 1104 52.870959464964 "c3.l73"
"1105" "St.Fs.55.06_28_2018" 1129 1105 47.5928861566016 "c3.l73"
"1108" "St.Fs.55.06_28_2018" 1129 1108 43.2577900555466 "c2.l73"
"1109" "St.Fs.55.06_28_2018" 1129 1109 54.2596000683906 "c4.l73"
"1115" "St.Fs.55.06_28_2018" 1129 1115 53.7756045650551 "c4.l73"
"1116" "St.Fs.55.06_28_2018" 1129 1116 38.7155898372157 "c1.l73"
"11231" "St.Fs.55.06_28_2018" 1129 1123 51.1026770869969 "c5.l74"
"1125" "St.Fs.55.06_28_2018" 1129 1125 38.3796287231767 "c1.l74"
"1132" "St.Fs.55.06_28_2018" 1129 1132 43.2347998394222 "c1.l75"
"1139" "St.Fs.55.06_28_2018" 1129 1139 50.2952221727457 "c1.l75"
"11421" "St.Fs.55.06_28_2018" 1129 1142 61.1114839651225 "c5.l76"
"1143" "St.Fs.55.06_28_2018" 1129 1143 53.5108750264742 "c1.l76"
"1150" "St.Fs.55.06_28_2018" 1129 1150 62.1425963418288 "c1.l76"
"11521" "St.Fs.55.06_28_2018" 1129 1152 61.4255210761062 "c2.l76"
"988" "St.Fs.55.06_28_2018" 1004 988 50.5311788978829 "c1.l67"
"989" "St.Fs.55.06_28_2018" 1004 989 47.1927647529344 "c2.l67"
"998" "St.Fs.55.06_28_2018" 1004 998 41.1875749454468 "c3.l68"
"1015" "St.Fs.55.06_28_2018" 1004 1015 40.4915752803869 "c3.l69"
"1018" "St.Fs.55.06_28_2018" 1004 1018 33.5693311737278 "c1.l69"
"1023" "St.Fs.55.06_28_2018" 1004 1023 43.5251371387996 "c3.l70"
"1027" "St.Fs.55.06_28_2018" 1004 1027 40.9214788600634 "c1.l70"
"1031" "St.Fs.55.06_28_2018" 1004 1031 43.0066894104031 "c2.l70"
"992" "St.Fs.55.06_28_2018" 1001 992 35.5992900040278 "c8.l67"
"994" "St.Fs.55.06_28_2018" 1001 994 32.8864055709082 "c7.l67"
"997" "St.Fs.55.06_28_2018" 1001 997 35.3073118840191 "c6.l68"
"1006" "St.Fs.55.06_28_2018" 1001 1006 32.9887551239514 "c6.l68"
"1014" "St.Fs.55.06_28_2018" 1001 1014 36.4966091306006 "c6.l69"
"1016" "St.Fs.55.06_28_2018" 1001 1016 35.8590582891661 "c8.l69"
"1021" "St.Fs.55.06_28_2018" 1001 1021 38.5084059764722 "c8.l69"
"1022" "St.Fs.55.06_28_2018" 1001 1022 41.2415153776149 "c7.l69"
"963" "St.Fs.55.06_28_2018" 985 963 51.0937541256675 "c4.l65"
"964" "St.Fs.55.06_28_2018" 985 964 50.1639391367383 "c5.l65"
"965" "St.Fs.55.06_28_2018" 985 965 49.028070276479 "c3.l65"
"974" "St.Fs.55.06_28_2018" 985 974 39.6519430839091 "c6.l66"
"975" "St.Fs.55.06_28_2018" 985 975 49.1384199110096 "c2.l66"
"984" "St.Fs.55.06_28_2018" 985 984 43.9423779469638 "c2.l67"
"986" "St.Fs.55.06_28_2018" 985 986 34.1295054816569 "c6.l67"
"990" "St.Fs.55.06_28_2018" 985 990 37.4381047246264 "c3.l67"
