"idSector" "layer" "cFile" "idD" "xLeftC" "xRightC" "yInfL" "ySupL" "xLeftL" "xRightL" "yLeftL" "yRightL" "xLeftLed" "xRightLed" "xLengthL" "xLengthInfL" "xLengthSupL" "xLeftInfP" "xLeftSupP" "xLeftEdgeS" "yLeftInfS" "yLeftSupS" "yLeftEdgeS" "xRightInfS" "xRightSupS" "xRightEdgeS" "yRightInfS" "yRightSupS" "yRightEdgeS" "APF" "vessel" "idVessel" "cell" "nbcell"
"11" "c1.l19" 19 1 "Lz.Fa.73.06_19_18" 292 214 735.533 774.147 43.9258958321154 556.286162945351 749.640566666667 749.640566666667 36.9258958321154 563.286162945351 526.360267113236 545.939079477269 534.786842426027 36.9258958321154 29.1241998601833 29.1241998601833 735.533 774.147 749.640566666667 63.6223168185538 55.275276454816 59.4487966366849 737.585 776.304 756.9445 1 0 NA 1 2
"12" "c1.l2" 2 1 "Lz.Fa.73.06_19_18" 43 7 79.103 117.717 168.542991002296 641.038339093723 103.562655250151 39.1171281985271 161.542991002296 648.038339093723 490.745300203232 488.522231571501 500.566153014303 161.542991002296 149.359079990701 149.359079990701 79.103 117.717 103.562655250151 185.233910149238 173.8367648731 179.535337511169 79.2295 118.075 98.65225 1 0 NA 1 1
"13" "c1.l20" 20 1 "Lz.Fa.73.06_19_18" 323 237 774.147 812.76 36.1241998601833 543.033222881118 804.557030829914 782.541033499301 29.1241998601833 550.033222881118 521.37406379977 534.786842426027 521.499517127892 29.1241998601833 29.1241998601833 29.1241998601833 774.147 812.76 804.557030829914 55.275276454816 54.6255262477372 54.9504013512766 776.304 815.023 795.6635 1 0 NA 1 2
"14" "c1.l21" 21 1 "Lz.Fa.73.06_19_18" 323 256 812.76 851.374 36.1241998601833 540.04088289118 804.557030829914 791.411954640007 29.1241998601833 547.04088289118 518.083471643198 521.499517127892 518.462138191237 29.1241998601833 29.1241998601833 29.1241998601833 812.76 851.374 832.067 54.6255262477372 54.4769984177348 54.551262332736 815.023 853.743 834.383 1 0 NA 1 3
"15" "c1.l22" 22 1 "Lz.Fa.73.06_19_18" 413 286 851.374 889.987 46.8117447606737 522.406904484095 866.7329 866.7329 39.8117447606737 529.406904484095 489.595159723421 518.462138191237 490.123065146502 29.1241998601833 39.8117447606737 29.1241998601833 851.374 889.987 866.7329 54.4769984177348 63.7787626463377 59.1278805320362 853.743 892.462 873.1025 1 0 NA 1 2
"16" "c1.l23" 23 1 "Lz.Fa.73.06_19_18" 440 324 889.987 928.601 51.7275918040475 507.978640421978 905.7635 905.7635 44.7275918040475 514.978640421978 470.251048617931 490.123065146502 471.285333426644 39.8117447606737 44.1935675680661 39.8117447606737 889.987 928.601 905.7635 63.7787626463377 67.239420372629 65.5090915094833 892.462 931.182 911.822 1 0 NA 1 3
"17" "c1.l24" 24 1 "Lz.Fa.73.06_19_18" 474 347 928.601 967.215 51.1935675680661 504.024350789187 937.617317850063 937.617317850063 44.1935675680661 511.024350789187 466.830783221121 471.285333426644 467.288386104176 44.1935675680661 44.1935675680661 44.1935675680661 928.601 967.215 937.617317850063 67.239420372629 67.0439696485603 67.1416950105946 931.182 969.901 950.5415 1 0 NA 1 2
"18" "c1.l25" 25 1 "Lz.Fa.73.06_19_18" 536 443 967.215 1005.828 55.682469785244 496.649403527316 992.978745522086 992.978745522086 48.682469785244 503.649403527316 454.966933742072 467.288386104176 455.390645927936 44.1935675680661 48.682469785244 44.1935675680661 967.215 1005.828 992.978745522086 67.0439696485603 70.9510723711201 68.9975210098402 969.901 1008.62 989.2605 1 0 NA 1 3
"19" "c1.l26" 26 1 "Lz.Fa.73.06_19_18" 597 443 1005.828 1044.442 56.8579898992623 496.649403527316 1022.85576666667 1022.85576666667 49.8579898992623 503.649403527316 453.791413628054 455.390645927936 454.172728740451 48.682469785244 49.8579898992623 48.682469785244 1005.828 1044.442 1022.85576666667 70.9510723711201 72.0670363346703 71.5090543528952 1008.62 1047.34 1027.98 1 0 NA 1 3
"20" "c1.l27" 27 1 "Lz.Fa.73.06_19_18" 620 500 1044.442 1083.055 57.7134484807351 488.954590849034 1061.88643333333 1061.88643333333 50.7134484807351 495.954590849034 445.241142368299 454.172728740451 471.219116178196 49.8579898992623 46.2247423796923 46.2247423796923 1044.442 1083.055 1061.88643333333 72.0670363346703 69.2673571608061 70.6671967477382 1047.34 1086.059 1066.6995 1 0 NA 1 2
