"idD" "minLay" "idSectorMin" "idVessel" "cFile" "layer" "idSectorV" "nbNeigh" "type" "PolySide" "nbcell" "CellS" "CellI" "CellE" "LSide" "nbCellp" "cumulCBef" "vessel.index" "id" "DOY" "RRF_avg" "cumulCellLay" "vessel.Relindex"
"30" "St.Fs.55.06_28_2018" 37 "c7.l37" 539 "7" "38" "c7.l38" 8 "Vessel" "RightSup" 1 0 0 1 "Sup" 1 93 95 "Fs.55" 179 263 263 36.1216730038023
"31" "St.Fs.55.06_28_2018" 38 "c2.l38" 548 "2" "40" "c2.l40" 11 "Vessel" "LeftSup" 0 0 0 0 "Sup" 0 95 96 "Fs.55" 179 263 263 36.5019011406844
"32" "St.Fs.55.06_28_2018" 43 "c7.l43" 631 "7" "44" "c7.l44" 9 "Vessel" "RightEdge" 2 0 1 0 "Edge" 1 106 108 "Fs.55" 179 263 263 41.06463878327
"33" "St.Fs.55.06_28_2018" 45 "c3.l45" 660 "3" "46" "c3.l46" 10 "Vessel" "LeftSup" 1 0 0 1 "Sup" 1 112 114 "Fs.55" 179 263 263 43.3460076045627
"34" "St.Fs.55.06_28_2018" 46 "c7.l46" 666 "7" "46" "c7.l46" 8 "Vessel" "LeftSup" 0 0 0 0 "Sup" 0 115 116 "Fs.55" 179 263 263 44.106463878327
"35" "St.Fs.55.06_28_2018" 48 "c6.l48" 710 "6" "50" "c6.l50" 10 "Vessel" "LeftEdge" 2 0 1 1 "Edge" 2 120 123 "Fs.55" 179 263 263 46.7680608365019
"36" "St.Fs.55.06_28_2018" 48 "c8.l48" 713 "8" "50" "c8.l50" 8 "Vessel" "LeftInf" 0 0 0 0 "Inf" 0 120 121 "Fs.55" 179 263 263 46.0076045627376
"37" "St.Fs.55.06_28_2018" 50 "c2.l50" 711 "2" "50" "c2.l50" 10 "Vessel" "RightEdge" 0 0 0 0 "Edge" 0 124 125 "Fs.55" 179 263 263 47.5285171102662
"38" "St.Fs.55.06_28_2018" 52 "c2.l52" 747 "2" "52" "c2.l52" 9 "Vessel" "LeftSup" 2 0 1 0 "Sup" 1 129 131 "Fs.55" 179 263 263 49.8098859315589
"39" "St.Fs.55.06_28_2018" 53 "c7.l53" 787 "7" "54" "c7.l54" 10 "Vessel" "LeftEdge" 1 0 1 0 "Edge" 1 132 134 "Fs.55" 179 263 263 50.9505703422053
"40" "St.Fs.55.06_28_2018" 55 "c4.l55" 814 "4" "56" "c4.l56" 9 "Vessel" "RightEdge" 2 0 0 1 "Edge" 1 138 140 "Fs.55" 179 263 263 53.2319391634981
"41" "St.Fs.55.06_28_2018" 56 "c2.l56" 825 "2" "57" "c2.l57" 9 "Vessel" "LeftEdge" 0 0 0 0 "Edge" 0 141 142 "Fs.55" 179 263 263 53.9923954372624
"42" "St.Fs.55.06_28_2018" 58 "c1.l58" 861 "1" "59" "c1.l59" 7 "Vessel" "RightEdge" 1 0 1 0 "Edge" 1 146 148 "Fs.55" 179 263 263 56.2737642585551
"43" "St.Fs.55.06_28_2018" 58 "c6.l58" 873 "6" "60" "c6.l60" 14 "Vessel" "RightInf" 3 0 1 1 "Inf" 2 146 149 "Fs.55" 179 263 263 56.6539923954373
