"idD" "layer" "cFile" "idSector" "xLeftC" "xRightC" "yInfL" "ySupL" "xLeftL" "xRightL" "yLeftL" "yRightL" "xLeftLed" "xRightLed" "xLengthL" "xLengthInfL" "xLengthSupL" "xLeftInfP" "xLeftSupP" "xLeftEdgeS" "yLeftInfS" "yLeftSupS" "yLeftEdgeS" "xRightInfS" "xRightSupS" "xRightEdgeS" "yRightInfS" "yRightSupS" "yRightEdgeS"
"1" "Lz.Fa.73.06_19_18" 1 1 "c1.l1" NA 1 40.49 79.103 184.25326623981 641.038339093723 58.3537676619613 58.3537676619613 177.25326623981 648.038339093723 474.387760194559 472.977721380261 488.522231571501 177.25326623981 161.542991002296 169.398128621053 35.49 79.103 58.3537676619613 200.381876815305 185.233910149238 192.807893482271 35.49 79.2295 59.996
"2" "Lz.Fa.73.06_19_18" 1 2 "c2.l1" NA 1 40.636 79.356 184.25326623981 641.038339093723 58.3537676619613 58.3537676619613 177.25326623981 648.038339093723 474.387760194559 472.977721380261 488.522231571501 200.381876815305 185.233910149238 192.807893482271 35.49 79.2295 59.996 224.976718327078 210.426707606108 217.701712966593 35.636 80.714 62.7435
"3" "Lz.Fa.73.06_19_18" 1 3 "c3.l1" NA 1 43.415 82.072 184.25326623981 641.038339093723 58.3537676619613 58.3537676619613 177.25326623981 648.038339093723 474.387760194559 472.977721380261 488.522231571501 224.976718327078 210.426707606108 217.701712966593 35.636 80.714 62.7435 251.416172952235 237.508964872244 244.462568912239 38.415 82.6095 63.781
"4" "Lz.Fa.73.06_19_18" 1 4 "c4.l1" NA 1 44.415 83.147 184.25326623981 641.038339093723 58.3537676619613 58.3537676619613 177.25326623981 648.038339093723 474.387760194559 472.977721380261 488.522231571501 251.416172952235 237.508964872244 244.462568912239 38.415 82.6095 63.781 274.923165704834 261.587465518522 268.255315611678 32.643 79.862 57.11
"5" "Lz.Fa.73.06_19_18" 1 5 "c5.l1" NA 1 37.643 76.577 184.25326623981 641.038339093723 58.3537676619613 58.3537676619613 177.25326623981 648.038339093723 474.387760194559 472.977721380261 488.522231571501 274.923165704834 261.587465518522 268.255315611678 32.643 79.862 57.11 295.166612179909 282.323075733023 288.744843956466 31.643 76.0575 56.0905
"6" "Lz.Fa.73.06_19_18" 1 6 "c6.l1" NA 1 36.643 75.538 184.25326623981 641.038339093723 58.3537676619613 58.3537676619613 177.25326623981 648.038339093723 474.387760194559 472.977721380261 488.522231571501 295.166612179909 282.323075733023 288.744843956466 31.643 76.0575 56.0905 318.910093793198 306.643814816386 312.776954304792 30.643 75.0075 55.06
"7" "Lz.Fa.73.06_19_18" 1 7 "c7.l1" NA 1 35.643 74.477 184.25326623981 641.038339093723 58.3537676619613 58.3537676619613 177.25326623981 648.038339093723 474.387760194559 472.977721380261 488.522231571501 318.910093793198 306.643814816386 312.776954304792 30.643 75.0075 55.06 369.566007753024 358.531288040055 364.04864789654 29.643 73.996 54.079
"8" "Lz.Fa.73.06_19_18" 1 8 "c8.l1" NA 1 34.643 73.515 184.25326623981 641.038339093723 58.3537676619613 58.3537676619613 177.25326623981 648.038339093723 474.387760194559 472.977721380261 488.522231571501 369.566007753024 358.531288040055 364.04864789654 29.643 73.996 54.079 416.059717764704 406.155364771024 411.107541267864 28.643 73.0055 53.0695
"9" "Lz.Fa.73.06_19_18" 1 9 "c9.l1" NA 1 33.643 72.496 184.25326623981 641.038339093723 58.3537676619613 58.3537676619613 177.25326623981 648.038339093723 474.387760194559 472.977721380261 488.522231571501 416.059717764704 406.155364771024 411.107541267864 28.643 73.0055 53.0695 437.95858626461 428.586644045122 433.272615154866 27.643 72.005 52.0785
"10" "Lz.Fa.73.06_19_18" 1 10 "c10.l1" NA 1 32.643 71.514 184.25326623981 641.038339093723 58.3537676619613 58.3537676619613 177.25326623981 648.038339093723 474.387760194559 472.977721380261 488.522231571501 437.95858626461 428.586644045122 433.272615154866 27.643 72.005 52.0785 469.60079582495 460.998146927134 465.299471376042 26.643 71.0285 51.093
"11" "Lz.Fa.73.06_19_18" 1 11 "c11.l1" NA 1 31.643 70.543 184.25326623981 641.038339093723 58.3537676619613 58.3537676619613 177.25326623981 648.038339093723 474.387760194559 472.977721380261 488.522231571501 469.60079582495 460.998146927134 465.299471376042 26.643 71.0285 51.093 508.716053383097 501.064384421041 504.890218902069 2.398 58.7395 27.167
"12" "Lz.Fa.73.06_19_18" 1 12 "c12.l1" NA 1 7.398 46.936 184.25326623981 641.038339093723 58.3537676619613 58.3537676619613 177.25326623981 648.038339093723 474.387760194559 472.977721380261 488.522231571501 508.716053383097 501.064384421041 504.890218902069 2.398 58.7395 27.167 547.973204257659 541.2759649772 544.624584617429 -7.541 42.0775 17.339
"13" "Lz.Fa.73.06_19_18" 1 13 "c13.l1" NA 1 -2.541 37.219 184.25326623981 641.038339093723 58.3537676619613 58.3537676619613 177.25326623981 648.038339093723 474.387760194559 472.977721380261 488.522231571501 547.973204257659 541.2759649772 544.624584617429 -7.541 42.0775 17.339 580.797858121449 574.898660044638 577.848259083044 -7.541 39.5615 22.086
"14" "Lz.Fa.73.06_19_18" 1 14 "c14.l1" NA 1 2.268 41.904 184.25326623981 641.038339093723 58.3537676619613 58.3537676619613 177.25326623981 648.038339093723 474.387760194559 472.977721380261 488.522231571501 580.797858121449 574.898660044638 577.848259083044 -7.541 39.5615 22.086 612.960343175307 607.843087488238 610.401715331772 -10 38.276 14.824
