"ind1" "ind2" "x1" "y1" "x2" "y2" "idD" "id" "tree" "year" "DOY" "date"
823 907 69.7900839664094 650.122438473323 142.358545219321 303.953926018212 "Lz.Fa.73.06_19_18" "Fa.73" 73 2018 170 "06_19_18"
979 949 168.542991002296 103.562655250151 143.747243572235 183.077942241927 "Lz.Fa.73.06_19_18" "Fa.73" 73 2018 170 "06_19_18"
991 989 202.956665931804 50.9796048646305 184.25326623981 58.3537676619613 "Lz.Fa.73.06_19_18" "Fa.73" 73 2018 170 "06_19_18"
995 991 220.698115980945 45.6362246466555 202.956665931804 50.9796048646305 "Lz.Fa.73.06_19_18" "Fa.73" 73 2018 170 "06_19_18"
989 979 184.25326623981 58.3537676619613 168.542991002296 103.562655250151 "Lz.Fa.73.06_19_18" "Fa.73" 73 2018 170 "06_19_18"
998 986 641.038339093723 39.1171281985271 640.39664709955 78.4470424036791 "Lz.Fa.73.06_19_18" "Fa.73" 73 2018 170 "06_19_18"
1005 1004 637.191128870717 0 549.446024384001 2.45851187009239 "Lz.Fa.73.06_19_18" "Fa.73" 73 2018 170 "06_19_18"
1 2 99.2875196202733 1514.10226601784 78.3403552261639 1513.2475919009 "Lz.Fa.73.06_19_18" "Fa.73" 73 2018 170 "06_19_18"
927 844 659.099850675409 248.912363762599 610.25850003219 607.05160899041 "Lz.Fa.73.06_19_18" "Fa.73" 73 2018 170 "06_19_18"
1005 998 637.191128870717 0 641.038339093723 39.1171281985271 "Lz.Fa.73.06_19_18" "Fa.73" 73 2018 170 "06_19_18"
