"idD" "id" "year" "DOY" "date" "layer" "cFile" "phaseLayF" "CellCLsum" "RRF"
"55" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 55 NA "SM" NA 2.36363636363636
"56" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 56 NA "SM" NA 3
"57" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 57 NA "SM" NA 2.66666666666667
"58" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 58 NA "SM" NA 2.33333333333333
"59" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 59 NA "SM" NA 3.25
"60" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 60 NA "SM" NA 2.55555555555556
"61" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 61 NA "SM" NA 3.27272727272727
"62" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 62 NA "SM" NA 2.33333333333333
"63" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 63 NA "SM" NA 2.5
"64" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 64 NA "SM" NA 2.69230769230769
"65" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 65 NA "SM" NA 3.2
"66" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 66 NA "SM" NA 3.33333333333333
"67" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 67 NA "SM" NA 2.25
"68" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 68 NA "SM" NA 3.6
"69" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 69 NA "SM" NA 2.66666666666667
"70" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 70 NA "SM" NA 3.4
"71" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 71 NA "SM" NA 3.125
"72" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 72 NA "SM" NA 3
"73" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 73 NA "SM" NA 3
"74" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 74 NA "SM" NA 2.71428571428571
"75" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 75 NA "SM" NA 3.33333333333333
"76" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 76 NA "SM" NA 2
"77" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 77 NA "SM" NA 3.22222222222222
"78" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 78 NA "SM" NA 2.28571428571429
"79" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 79 NA "SM" NA 2.5
"80" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 80 NA "SM" NA 3
"81" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 81 NA "SM" NA 2
"82" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 82 NA "SM" NA 2.5
"83" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 83 NA "SM" NA 3
"84" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 84 NA "SM" NA 2.66666666666667
"85" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 85 NA "SM" NA 2.38461538461538
"86" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 86 NA "SM" NA 3
"87" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 87 NA "SM" NA 3.6
"88" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 88 NA "SM" NA 2.81818181818182
"89" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 89 NA "SM" NA 3.6
"90" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 90 NA "SM" NA 3.5
"91" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 91 NA "SM" NA 2.86666666666667
"92" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 92 NA "SM" NA 3.45454545454545
"93" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 93 NA "SM" NA 3.69230769230769
"94" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 94 NA "E" NA 3.25
"95" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 95 NA "E" NA 4
"96" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" 96 NA "E" NA 4.2
"97" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" NA 1 NA 246 NA
"98" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" NA 2 NA 198 NA
"99" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" NA 3 NA 176 NA
"100" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" NA 4 NA 188 NA
"101" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" NA 5 NA 128 NA
"102" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" NA 6 NA 196 NA
"103" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" NA 7 NA 186 NA
"104" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "06_28_2018" NA 8 NA 202 NA
