"idD" "layer" "cFile" "idSector" "xLeftC" "xRightC" "yInfL" "ySupL" "xLeftL" "xRightL" "yLeftL" "yRightL" "xLeftLed" "xRightLed" "xLengthL" "xLengthInfL" "xLengthSupL" "xLeftInfP" "xLeftSupP" "xLeftEdgeS" "yLeftInfS" "yLeftSupS" "yLeftEdgeS" "xRightInfS" "xRightSupS" "xRightEdgeS" "yRightInfS" "yRightSupS" "yRightEdgeS"
"1" "St.Fs.55.06_28_2018" 1 1 "c1.l1" 10 21 -1.751 28.181 69.7822985771818 241.300860944724 18.605263361334 35.0889592400424 62.7822985771818 248.300860944724 186.249427415875 187.016657971742 186.999652683955 62.7822985771818 62.7822985771818 62.7822985771818 -11.751 28.181 18.605263361334 89.1142440196031 88.6964263182912 88.9053351689471 -11.751 28.1925 13.229
"2" "St.Fs.55.06_28_2018" 1 2 "c2.l1" 10 21 -1.746 28.204 69.7822985771818 241.300860944724 18.605263361334 35.0889592400424 62.7822985771818 248.300860944724 186.249427415875 187.016657971742 186.999652683955 89.1142440196031 88.6964263182912 88.9053351689471 -11.751 28.1925 13.229 113.258094563755 112.457178387732 112.857636475743 -11.746 28.615 14.051
"3" "St.Fs.55.06_28_2018" 1 3 "c3.l1" 10 21 -0.924 29.026 69.7822985771818 241.300860944724 18.605263361334 35.0889592400424 62.7822985771818 248.300860944724 186.249427415875 187.016657971742 186.999652683955 113.258094563755 112.457178387732 112.857636475743 -11.746 28.615 14.051 135.980618507322 134.819156516601 135.399887511961 -15 27.0095 9.9965
"4" "St.Fs.55.06_28_2018" 1 4 "c4.l1" 10 21 -5 24.993 69.7822985771818 241.300860944724 18.605263361334 35.0889592400424 62.7822985771818 248.300860944724 186.249427415875 187.016657971742 186.999652683955 135.980618507322 134.819156516601 135.399887511961 -15 27.0095 9.9965 155.991400910298 154.512421206222 155.25191105826 -16 24.508 9.0115
"5" "St.Fs.55.06_28_2018" 1 5 "c5.l1" 10 21 -6 24.023 69.7822985771818 241.300860944724 18.605263361334 35.0889592400424 62.7822985771818 248.300860944724 186.249427415875 187.016657971742 186.999652683955 155.991400910298 154.512421206222 155.25191105826 -16 24.508 9.0115 174.132016733557 172.365193868776 173.248605301167 -16 26.8175 14.622
"6" "St.Fs.55.06_28_2018" 1 6 "c6.l1" 10 21 -0.368 29.612 69.7822985771818 241.300860944724 18.605263361334 35.0889592400424 62.7822985771818 248.300860944724 186.249427415875 187.016657971742 186.999652683955 174.132016733557 172.365193868776 173.248605301167 -16 26.8175 14.622 199.6597905467 197.487910038247 198.573850292473 -10.368 34.7415 24.9255
"7" "St.Fs.55.06_28_2018" 1 7 "c7.l1" 10 21 9.98 39.871 69.7822985771818 241.300860944724 18.605263361334 35.0889592400424 62.7822985771818 248.300860944724 186.249427415875 187.016657971742 186.999652683955 199.6597905467 197.487910038247 198.573850292473 -10.368 34.7415 24.9255 226.833310949994 224.230259191537 225.531785070765 -0.0199999999999996 45.7705 36.7715
"8" "St.Fs.55.06_28_2018" 1 8 "c8.l1" 10 21 21.873 51.67 69.7822985771818 241.300860944724 18.605263361334 35.0889592400424 62.7822985771818 248.300860944724 186.249427415875 187.016657971742 186.999652683955 226.833310949994 224.230259191537 225.531785070765 -0.0199999999999996 45.7705 36.7715 248.300860944724 248.300860944724 248.300860944724 9.98 51.67 35.0889592400424
"9" "St.Fs.55.06_28_2018" 2 1 "c1.l2" 26 30 28.181 58.112 72.9939321069784 241.300860944724 53.5439911474314 69.1538665859457 65.9939321069784 248.300860944724 182.97399955583 186.999652683955 186.982868220379 62.7822985771818 62.7822985771818 62.7822985771818 28.181 58.112 53.5439911474314 88.6964263182912 88.6987524925407 88.697589405416 28.1925 58.155 43.17375
"10" "St.Fs.55.06_28_2018" 2 2 "c2.l2" 26 30 28.204 58.155 72.9939321069784 241.300860944724 53.5439911474314 69.1538665859457 65.9939321069784 248.300860944724 182.97399955583 186.999652683955 186.982868220379 88.6964263182912 88.6987524925407 88.697589405416 28.1925 58.155 43.17375 112.457178387732 112.461637439081 112.459407913406 28.615 58.975 43.795
"11" "St.Fs.55.06_28_2018" 2 3 "c3.l2" 26 30 29.026 58.975 72.9939321069784 241.300860944724 53.5439911474314 69.1538665859457 65.9939321069784 248.300860944724 182.97399955583 186.999652683955 186.982868220379 112.457178387732 112.461637439081 112.459407913406 28.615 58.975 43.795 134.819156516601 134.825622884508 134.822389700554 27.0095 54.986 40.99775
"12" "St.Fs.55.06_28_2018" 2 4 "c4.l2" 26 30 24.993 54.986 72.9939321069784 241.300860944724 53.5439911474314 69.1538665859457 65.9939321069784 248.300860944724 182.97399955583 186.999652683955 186.982868220379 134.819156516601 134.825622884508 134.822389700554 27.0095 54.986 40.99775 154.512421206222 154.52065533439 154.516538270306 24.508 54.047 39.2775
"13" "St.Fs.55.06_28_2018" 2 5 "c5.l2" 26 30 24.023 54.047 72.9939321069784 241.300860944724 53.5439911474314 69.1538665859457 65.9939321069784 248.300860944724 182.97399955583 186.999652683955 186.982868220379 154.512421206222 154.52065533439 154.516538270306 24.508 54.047 39.2775 172.365193868776 172.375030545965 172.370112207371 26.8175 59.593 43.20525
"14" "St.Fs.55.06_28_2018" 2 6 "c6.l2" 26 30 29.612 59.593 72.9939321069784 241.300860944724 53.5439911474314 69.1538665859457 65.9939321069784 248.300860944724 182.97399955583 186.999652683955 186.982868220379 172.365193868776 172.375030545965 172.370112207371 26.8175 59.593 43.20525 197.487910038247 197.500001848852 197.49395594355 34.7415 69.762 52.25175
