"idSector" "layer" "cFile" "idD" "xLeftC" "xRightC" "yInfL" "ySupL" "xLeftL" "xRightL" "yLeftL" "yRightL" "xLeftLed" "xRightLed" "xLengthL" "xLengthInfL" "xLengthSupL" "xLeftInfP" "xLeftSupP" "xLeftEdgeS" "yLeftInfS" "yLeftSupS" "yLeftEdgeS" "xRightInfS" "xRightSupS" "xRightEdgeS" "yRightInfS" "yRightSupS" "yRightEdgeS" "APF" "vessel" "idVessel" "nbcell" "Vorigin" "cLdif" "laydif" "circle"
"126" "c12.l2" 2 12 "Lz.Fa.73.06_19_18" 43 7 46.936 86.474 168.542991002296 641.038339093723 103.562655250151 39.1171281985271 161.542991002296 648.038339093723 490.745300203232 488.522231571501 500.566153014303 501.064384421041 500.155840023125 500.610112222083 58.7395 86.474 72.60675 541.2759649772 541.702830723312 541.489397850256 42.0775 76.979 59.52825 0 1 36 0 NA -2 1 2
"137" "c12.l3" 3 12 "Lz.Fa.73.06_19_18" 60 12 86.474 126.012 156.359079990701 640.39664709955 78.4470424036791 78.4470424036791 149.359079990701 647.39664709955 498.037567108849 500.566153014303 512.405655576519 500.155840023125 495.84112700026 497.998483511692 86.474 126.012 106.243 541.702830723312 538.370796413111 540.036813568211 76.979 116.739 96.859 0 1 36 0 NA -2 0 2
"147" "c12.l4" 4 12 "Lz.Fa.73.06_19_18" 68 27 126.012 165.55 143.747243572235 630.991897838999 183.077942241927 183.077942241927 136.747243572235 637.991897838999 501.244654266764 512.405655576519 510.51067634539 495.84112700026 494.513125555084 495.177126277672 126.012 165.55 145.781 538.370796413111 536.885511691752 537.628154052431 116.739 156.499 136.619 0 1 36 0 NA -2 -1 2
"148" "c12.l5" 5 12 "Lz.Fa.73.06_19_18" 75 38 165.55 205.087 148.557384018769 638.580219455901 203.2106 203.2106 141.557384018769 645.580219455901 504.022835437132 510.51067634539 512.984711185876 494.513125555084 493.68212235596 494.097623955522 165.55 205.087 185.3185 536.885511691752 536.259853384388 536.57268253807 156.499 196.259 176.379 0 1 36 0 NA -2 -2 2
"149" "c12.l6" 6 12 "Lz.Fa.73.06_19_18" 97 52 205.087 244.625 141.182436756898 634.626125939245 270.928949441617 270.928949441617 134.182436756898 641.626125939245 507.443689182347 512.984711185876 533.366220364354 493.68212235596 507.965483988237 500.823803172099 205.087 244.625 224.856 536.259853384388 552.234880278479 544.247366831433 196.259 236.019 216.139 0 1 36 0 NA -2 -3 3
"175" "c13.l3" 3 13 "Lz.Fa.73.06_19_18" 60 12 76.979 116.739 156.359079990701 640.39664709955 78.4470424036791 78.4470424036791 149.359079990701 647.39664709955 498.037567108849 500.566153014303 512.405655576519 541.702830723312 538.370796413111 540.036813568211 76.979 116.739 96.859 576.442121742505 573.931748910121 575.186935326313 81.54 121.177 101.3585 1 1 36 1 NA -3 0 3
"392" "c5.l2" 2 5 "Lz.Fa.73.06_19_18" 43 7 76.577 115.51 168.542991002296 641.038339093723 103.562655250151 39.1171281985271 161.542991002296 648.038339093723 490.745300203232 488.522231571501 500.566153014303 261.587465518522 252.725990588155 257.156728053338 79.862 115.51 97.686 282.323075733023 274.150221937167 278.236648835095 76.0575 114.433 95.24525 0 1 36 0 NA 5 1 5
"403" "c5.l3" 3 5 "Lz.Fa.73.06_19_18" 60 12 115.51 154.443 156.359079990701 640.39664709955 78.4470424036791 78.4470424036791 149.359079990701 647.39664709955 498.037567108849 500.566153014303 512.405655576519 252.725990588155 242.559011448786 247.64250101847 115.51 154.443 134.9765 274.150221937167 264.489973507461 269.320097722314 114.433 153.328 133.8805 1 1 36 1 NA 5 0 5
"413" "c5.l4" 4 5 "Lz.Fa.73.06_19_18" 68 27 154.443 193.376 143.747243572235 630.991897838999 183.077942241927 183.077942241927 136.747243572235 637.991897838999 501.244654266764 512.405655576519 510.51067634539 242.559011448786 242.167698237558 242.363354843172 154.443 193.376 173.9095 264.489973507461 264.017555185141 264.253764346301 153.328 192.223 172.7755 0 1 36 0 NA 5 -1 5
"414" "c5.l5" 5 5 "Lz.Fa.73.06_19_18" 75 38 193.376 232.309 148.557384018769 638.580219455901 203.2106 203.2106 141.557384018769 645.580219455901 504.022835437132 510.51067634539 512.984711185876 242.167698237558 240.113779616781 241.14073892717 193.376 232.309 212.8425 264.017555185141 262.069525255537 263.043540220339 192.223 231.117 211.67 0 1 36 0 NA 5 -2 5
"419" "c6.l1" 1 6 "Lz.Fa.73.06_19_18" NA 1 36.643 75.538 184.25326623981 641.038339093723 58.3537676619613 58.3537676619613 177.25326623981 648.038339093723 474.387760194559 472.977721380261 488.522231571501 295.166612179909 282.323075733023 288.744843956466 31.643 76.0575 56.0905 318.910093793198 306.643814816386 312.776954304792 30.643 75.0075 55.06 1 1 36 1 NA 4 2 4
"430" "c6.l2" 2 6 "Lz.Fa.73.06_19_18" 43 7 75.538 114.433 168.542991002296 641.038339093723 103.562655250151 39.1171281985271 161.542991002296 648.038339093723 490.745300203232 488.522231571501 500.566153014303 282.323075733023 274.150221937167 278.236648835095 76.0575 114.433 95.24525 306.643814816386 299.278642818485 302.961228817435 75.0075 113.311 94.15925 0 1 36 0 NA 4 1 4
"441" "c6.l3" 3 6 "Lz.Fa.73.06_19_18" 60 12 114.433 153.328 156.359079990701 640.39664709955 78.4470424036791 78.4470424036791 149.359079990701 647.39664709955 498.037567108849 500.566153014303 512.405655576519 274.150221937167 264.489973507461 269.320097722314 114.433 153.328 133.8805 299.278642818485 290.212737417403 294.745690117944 113.311 152.145 132.728 0 1 36 0 NA 4 0 4
"451" "c6.l4" 4 6 "Lz.Fa.73.06_19_18" 68 27 153.328 192.223 143.747243572235 630.991897838999 183.077942241927 183.077942241927 136.747243572235 637.991897838999 501.244654266764 512.405655576519 510.51067634539 264.489973507461 264.017555185141 264.253764346301 153.328 192.223 172.7755 290.212737417403 289.645191137679 289.928964277541 152.145 190.979 171.562 0 1 36 0 NA 4 -1 4
"452" "c6.l5" 5 6 "Lz.Fa.73.06_19_18" 75 38 192.223 231.117 148.557384018769 638.580219455901 203.2106 203.2106 141.557384018769 645.580219455901 504.022835437132 510.51067634539 512.984711185876 264.017555185141 262.069525255537 263.043540220339 192.223 231.117 211.67 289.645191137679 287.821357757068 288.733274447374 190.979 229.813 210.396 0 1 36 0 NA 4 -2 4
"457" "c7.l1" 1 7 "Lz.Fa.73.06_19_18" NA 1 35.643 74.477 184.25326623981 641.038339093723 58.3537676619613 58.3537676619613 177.25326623981 648.038339093723 474.387760194559 472.977721380261 488.522231571501 318.910093793198 306.643814816386 312.776954304792 30.643 75.0075 55.06 369.566007753024 358.531288040055 364.04864789654 29.643 73.996 54.079 0 1 36 0 NA 3 2 3
