"minLay" "idSectorMin" "idD" "idVessel" "cFile" "layer" "idSectorV" "nbNeigh" "type" "PolySide" "nbcell" "CellS" "CellI" "CellE" "LSide" "nbCellp" "cumulCBef" "vessel.index"
"38" 52 "c2.l52" "St.Fs.55.06_28_2018" 747 "2" "52" "c2.l52" 9 "Vessel" "LeftSup" 2 0 1 0 "Sup" 1 129 131
"39" 53 "c7.l53" "St.Fs.55.06_28_2018" 787 "7" "54" "c7.l54" 10 "Vessel" "LeftEdge" 1 0 1 0 "Edge" 1 132 134
"40" 55 "c4.l55" "St.Fs.55.06_28_2018" 814 "4" "56" "c4.l56" 9 "Vessel" "RightEdge" 2 0 0 1 "Edge" 1 138 140
"41" 56 "c2.l56" "St.Fs.55.06_28_2018" 825 "2" "57" "c2.l57" 9 "Vessel" "LeftEdge" 0 0 0 0 "Edge" 0 141 142
"42" 58 "c1.l58" "St.Fs.55.06_28_2018" 861 "1" "59" "c1.l59" 7 "Vessel" "RightEdge" 1 0 1 0 "Edge" 1 146 148
"43" 58 "c6.l58" "St.Fs.55.06_28_2018" 873 "6" "60" "c6.l60" 14 "Vessel" "RightInf" 3 0 1 1 "Inf" 2 146 149
"44" 60 "c1.l60" "St.Fs.55.06_28_2018" 891 "1" "61" "c1.l61" 6 "Vessel" "LeftEdge" 1 0 0 1 "Edge" 1 152 154
"45" 61 "c3.l61" "St.Fs.55.06_28_2018" 912 "3" "62" "c3.l62" 13 "Vessel" "LeftEdge" 2 0 1 1 "Edge" 2 155 158
"46" 62 "c7.l62" "St.Fs.55.06_28_2018" 937 "7" "63" "c7.l63" 11 "Vessel" "LeftSup" 3 0 1 1 "Sup" 2 158 161
"47" 64 "c7.l64" "St.Fs.55.06_28_2018" 978 "7" "66" "c7.l66" 6 "Vessel" "RightInf" 1 0 0 1 "Inf" 1 163 165
"48" 65 "c4.l65" "St.Fs.55.06_28_2018" 985 "4" "67" "c4.l67" 11 "Vessel" "RightInf" 2 0 1 1 "Inf" 2 165 168
"49" 67 "c2.l67" "St.Fs.55.06_28_2018" 1004 "2" "69" "c2.l69" 8 "Vessel" "LeftInf" 3 0 1 1 "Inf" 2 172 175
"50" 67 "c7.l67" "St.Fs.55.06_28_2018" 1001 "7" "68" "c7.l68" 8 "Vessel" "RightEdge" 1 0 0 1 "Edge" 1 172 174
"51" 73 "c2.l73" "St.Fs.55.06_28_2018" 1129 "2" "74" "c2.l74" 14 "Vessel" "RightSup" 3 0 1 1 "Sup" 2 190 193
"52" 74 "c6.l74" "St.Fs.55.06_28_2018" 1134 "6" "74" "c6.l74" 8 "Vessel" "RightSup" 0 0 0 0 "Sup" 0 193 194
"53" 75 "c5.l75" "St.Fs.55.06_28_2018" 1142 "5" "76" "c5.l76" 10 "Vessel" "LeftInf" 0 0 0 0 "Inf" 0 196 197
"54" 76 "c7.l76" "St.Fs.55.06_28_2018" 1172 "7" "77" "c7.l77" 11 "Vessel" "LeftSup" 2 0 1 0 "Sup" 1 199 201
"55" 81 "c2.l81" "St.Fs.55.06_28_2018" 1247 "2" "82" "c2.l82" 8 "Vessel" "LeftInf" 2 0 1 0 "Inf" 1 212 214
"56" 81 "c8.l81" "St.Fs.55.06_28_2018" 1252 "8" "81" "c8.l81" 6 "Vessel" "LeftSup" 1 0 1 0 "Sup" 1 212 214
"57" 81 "c6.l81" "St.Fs.55.06_28_2018" 1258 "6" "82" "c6.l82" 8 "Vessel" "LeftEdge" 2 0 1 1 "Edge" 2 212 215
"58" 83 "c3.l83" "St.Fs.55.06_28_2018" 1278 "3" "83" "c3.l83" 9 "Vessel" "RightSup" 0 0 0 0 "Sup" 0 217 218
"59" 84 "c3.l84" "St.Fs.55.06_28_2018" 1298 "3" "85" "c3.l85" 9 "Vessel" "LeftInf" 0 0 0 0 "Inf" 0 220 221
"60" 86 "c5.l86" "St.Fs.55.06_28_2018" 1358 "5" "88" "c5.l88" 10 "Vessel" "RightInf" 1 0 0 1 "Inf" 1 225 227
"61" 86 "c7.l86" "St.Fs.55.06_28_2018" 1359 "7" "88" "c7.l88" 9 "Vessel" "LeftInf" 3 0 1 1 "Inf" 2 225 228
"62" 91 "c1.l91" "St.Fs.55.06_28_2018" 1455 "1" "92" "c1.l92" 8 "Vessel" "RightEdge" 1 0 1 0 "Edge" 1 241 243
"63" 92 "c6.l92" "St.Fs.55.06_28_2018" 1474 "6" "92" "c6.l92" 9 "Vessel" "LeftSup" 0 0 0 0 "Sup" 0 244 245
"64" 94 "c7.l94" "St.Fs.55.06_28_2018" 1513 "7" "94" "c7.l94" 9 "Vessel" "LeftEdge" 0 0 0 0 "Edge" 0 251 252
"65" 94 "c3.l94" "St.Fs.55.06_28_2018" 1516 "3" "94" "c3.l94" 10 "Vessel" "LeftSup" 1 0 1 0 "Sup" 1 251 253
"66" 95 "c1.l95" "St.Fs.55.06_28_2018" 1544 "1" "95" "c1.l95" 7 "Vessel" "RightSup" 2 0 1 0 "Sup" 1 254 256
"67" 95 "c2.l95" "St.Fs.55.06_28_2018" 1540 "2" "95" "c2.l95" 5 "Vessel" "LeftSup" 3 1 0 1 "Sup" 1 254 256
