"idSector" "layer" "cFile" "idD" "xLeftC" "xRightC" "yInfL" "ySupL" "xLeftL" "xRightL" "yLeftL" "yRightL" "xLeftLed" "xRightLed" "xLengthL" "xLengthInfL" "xLengthSupL" "xLeftInfP" "xLeftSupP" "xLeftEdgeS" "yLeftInfS" "yLeftSupS" "yLeftEdgeS" "xRightInfS" "xRightSupS" "xRightEdgeS" "yRightInfS" "yRightSupS" "yRightEdgeS" "APF" "vessel" "idVessel" "cell" "nbcell"
"1" "c1.l1" 1 1 "St.Fs.55.06_28_2018" 10 21 -1.751 28.181 69.7822985771818 241.300860944724 18.605263361334 35.0889592400424 62.7822985771818 248.300860944724 186.249427415875 187.016657971742 186.999652683955 62.7822985771818 62.7822985771818 62.7822985771818 -11.751 28.181 18.605263361334 89.1142440196031 88.6964263182912 88.9053351689471 -11.751 28.1925 13.229 1 0 NA 1 3
"2" "c1.l10" 10 1 "St.Fs.55.06_28_2018" 152 169 267.633 297.565 57.4324458191198 246.422014443383 279.570120321721 303.370226859611 50.4324458191198 253.422014443383 204.380062729904 204.223070964728 204.271651436293 50.4324458191198 50.3687139247495 50.3687139247495 267.633 297.565 279.570120321721 78.8407489574819 78.7880979786508 78.8144234680663 267.806 297.756 282.781 1 0 NA 1 3
"3" "c1.l11" 11 1 "St.Fs.55.06_28_2018" 164 184 297.565 327.496 57.3687139247495 242.286242556871 301.630789016157 334.11527850866 50.3687139247495 249.286242556871 201.552537207298 204.271651436293 207.142622477533 50.3687139247495 43.7453154704735 43.7453154704735 297.565 327.496 301.630789016157 78.7880979786508 72.5777492326551 75.682923605653 297.756 327.706 312.731 1 0 NA 1 4
"4" "c1.l12" 12 1 "St.Fs.55.06_28_2018" 190 195 327.496 357.428 50.7453154704735 242.701130835978 355.774965415063 366.196595871198 43.7453154704735 249.701130835978 206.219320783078 207.142622477533 209.450511131578 43.7453154704735 43.7453154704735 43.7453154704735 327.496 357.428 355.774965415063 72.5777492326551 72.9103785340486 72.7440638833519 327.706 357.656 342.681 1 0 NA 1 3
"5" "c1.l13" 13 1 "St.Fs.55.06_28_2018" 201 202 357.428 387.36 50.8022068733079 245.036478423392 387.162854168025 384.999968963437 43.8022068733079 252.036478423392 208.245503962036 209.450511131578 209.37978945446 43.7453154704735 43.8022068733079 43.7453154704735 357.428 387.36 387.162854168025 72.9103785340486 72.9611857991391 72.9357821665939 357.656 387.607 372.6315 1 0 NA 1 3
"6" "c1.l14" 14 1 "St.Fs.55.06_28_2018" 203 213 387.36 417.291 54.8317911878544 243.541045544387 402.106995871447 431.143165043731 47.8317911878544 250.541045544387 204.778272582769 209.37978945446 203.871485121832 43.8022068733079 47.8317911878544 43.8022068733079 387.36 417.291 402.106995871447 72.9611857991391 76.2105450004996 74.5858653998193 387.607 417.557 402.582 1 0 NA 1 2
"7" "c1.l15" 15 1 "St.Fs.55.06_28_2018" 222 230 417.291 447.223 58.1683585212149 242.733142564215 444.352381932293 449.638158711603 51.1683585212149 249.733142564215 198.635125036344 203.871485121832 200.529711977599 47.8317911878544 50.370468583304 47.8317911878544 417.291 447.223 444.352381932293 76.2105450004996 78.2773704293568 77.2439577149282 417.557 447.507 432.532 1 0 NA 1 3
"8" "c1.l16" 16 1 "St.Fs.55.06_28_2018" 236 230 447.223 477.154 57.370468583304 241.624609589089 463.544304390634 463.544304390634 50.370468583304 248.624609589089 198.254141005785 200.529711977599 200.904871310587 50.370468583304 48.8701369099429 48.8701369099429 447.223 477.154 463.544304390634 78.2773704293568 76.8345180251434 77.5559442272501 447.507 477.457 462.482 1 0 NA 1 2
"9" "c1.l17" 17 1 "St.Fs.55.06_28_2018" 251 272 477.154 507.086 55.8701369099429 227.665297910775 482.397282003465 507.436538862584 48.8701369099429 234.665297910775 187.474814936252 200.904871310587 195.130802286114 48.8701369099429 48.8701369099429 48.8701369099429 477.154 507.086 482.397282003465 76.8345180251434 76.016140065632 76.4253290453877 477.457 507.407 492.432 1 0 NA 1 2
"10" "c1.l18" 18 1 "St.Fs.55.06_28_2018" 264 277 507.086 537.018 61.4253918944693 235.831190848156 507.436538862584 536.220649432933 54.4253918944693 242.831190848156 190.591894110697 195.130802286114 198.054829498791 48.8701369099429 45.914157844926 45.914157844926 507.086 537.018 507.436538862584 76.016140065632 73.4807946811869 74.7484673734095 507.407 537.357 522.382 1 0 NA 1 1
"11" "c1.l19" 19 1 "St.Fs.55.06_28_2018" NA 292 537.018 566.949 52.914157844926 235.703589020169 561.35460230464 580.253981248428 45.914157844926 242.703589020169 197.694882955368 198.054829498791 203.233431408647 45.914157844926 40.5646874051331 40.5646874051331 537.018 566.949 561.35460230464 73.4807946811869 68.8725649281358 71.1766798046614 537.357 567.308 552.3325 0 0 NA 0 0
"12" "c1.l2" 2 1 "St.Fs.55.06_28_2018" 26 30 28.181 58.112 72.9939321069784 241.300860944724 53.5439911474314 69.1538665859457 65.9939321069784 248.300860944724 182.97399955583 186.999652683955 186.982868220379 62.7822985771818 62.7822985771818 62.7822985771818 28.181 58.112 53.5439911474314 88.6964263182912 88.6987524925407 88.697589405416 28.1925 58.155 43.17375 1 0 NA 1 3
"13" "c1.l20" 20 1 "St.Fs.55.06_28_2018" 300 304 566.949 596.881 47.5646874051331 234.217908525596 595.243117750838 595.243117750838 40.5646874051331 241.217908525596 200.653221120463 203.233431408647 201.74176113789 40.5646874051331 40.5646874051331 40.5646874051331 566.949 596.881 595.243117750838 68.8725649281358 68.664221485658 68.7683932068969 567.308 597.258 582.283 1 0 NA 1 2
