"idSector" "layer" "cFile" "idD" "xLeftC" "xRightC" "yInfL" "ySupL" "xLeftL" "xRightL" "yLeftL" "yRightL" "xLeftLed" "xRightLed" "xLengthL" "xLengthInfL" "xLengthSupL" "xLeftInfP" "xLeftSupP" "xLeftEdgeS" "yLeftInfS" "yLeftSupS" "yLeftEdgeS" "xRightInfS" "xRightSupS" "xRightEdgeS" "yRightInfS" "yRightSupS" "yRightEdgeS" "APF" "vessel" "idVessel" "nbcell" "Vorigin" "cLdif" "laydif" "circle"
"23" "c1.l3" 3 1 "St.Fs.55.06_28_2018" 33 50 58.112 88.044 69.7822985771818 237.54462529844 74.8593040250386 102.335214038537 62.7822985771818 244.54462529844 183.827280473262 186.982868220379 188.350217928532 62.7822985771818 57.631179570944 57.631179570944 58.112 88.044 74.8593040250386 88.6987524925407 83.7478383684563 86.2232954304985 58.155 88.105 73.13 1 1 37 1 NA 1 0 1
"108" "c2.l2" 2 2 "St.Fs.55.06_28_2018" 26 30 28.204 58.155 72.9939321069784 241.300860944724 53.5439911474314 69.1538665859457 65.9939321069784 248.300860944724 182.97399955583 186.999652683955 186.982868220379 88.6964263182912 88.6987524925407 88.697589405416 28.1925 58.155 43.17375 112.457178387732 112.461637439081 112.459407913406 28.615 58.975 43.795 1 1 37 2 NA 0 1 1
"119" "c2.l3" 3 2 "St.Fs.55.06_28_2018" 33 50 58.155 88.105 69.7822985771818 237.54462529844 74.8593040250386 102.335214038537 62.7822985771818 244.54462529844 183.827280473262 186.982868220379 188.350217928532 88.6987524925407 83.7478383684563 86.2232954304985 58.155 88.105 73.13 112.461637439081 107.694291853959 110.07796464652 58.975 88.925 73.95 0 1 37 0 1 0 0 0
"130" "c2.l4" 4 2 "St.Fs.55.06_28_2018" 55 64 88.105 118.055 64.631179570944 237.385059435847 108.058690660692 116.985502388446 57.631179570944 244.385059435847 186.967108369941 188.350217928532 199.797085191809 83.7478383684563 80.9342547334228 82.3410465509395 88.105 118.055 103.08 107.694291853959 106.38371099698 107.039001425469 88.925 118.875 103.9 1 1 37 1 NA 0 -1 1
"215" "c3.l3" 3 3 "St.Fs.55.06_28_2018" 33 50 58.975 88.925 69.7822985771818 237.54462529844 74.8593040250386 102.335214038537 62.7822985771818 244.54462529844 183.827280473262 186.982868220379 188.350217928532 112.461637439081 107.694291853959 110.07796464652 58.975 88.925 73.95 134.825622884508 130.231039324824 132.528331104666 54.986 84.979 69.9825 1 1 37 2 NA -1 0 1
"226" "c3.l4" 4 3 "St.Fs.55.06_28_2018" 55 64 88.925 118.875 64.631179570944 237.385059435847 108.058690660692 116.985502388446 57.631179570944 244.385059435847 186.967108369941 188.350217928532 199.797085191809 107.694291853959 106.38371099698 107.039001425469 88.925 118.875 103.9 130.231039324824 130.334980834486 130.283010079655 84.979 114.973 99.976 1 1 37 2 NA -1 -1 1
"610" "c7.l4" 4 7 "St.Fs.55.06_28_2018" 55 64 99.653 129.543 64.631179570944 237.385059435847 108.058690660692 116.985502388446 57.631179570944 244.385059435847 186.967108369941 188.350217928532 199.797085191809 193.389578533297 197.457675317376 195.423626925337 99.653 129.543 114.598 220.340931681582 226.100634225934 223.220782953758 111.264 141.06 126.162 1 1 74 3 1 0 0 0
"56" "c1.l6" 6 1 "St.Fs.55.06_28_2018" NA 107 147.907 177.839 58.2173757251554 242.23314420278 195.220351727425 195.220351727425 51.2173757251554 249.23314420278 198.015768477625 201.729679896591 200.819980525369 51.2173757251554 51.0534093449886 51.0534093449886 147.907 177.839 162.873 79.2532954126573 78.9639098194363 79.1086026160468 148.005 177.955 162.98 0 1 87 0 NA 1 0 1
"141" "c2.l5" 5 2 "St.Fs.55.06_28_2018" NA 92 118.055 148.005 60.1783798929209 244.637337932469 165.369766448236 165.369766448236 53.1783798929209 251.637337932469 198.458958039548 199.797085191809 201.729679896591 80.9342547334228 79.2532954126573 80.09377507304 118.055 148.005 133.03 106.38371099698 104.959525751127 105.671618374053 118.875 148.825 133.85 0 1 87 0 NA 0 1 1
"152" "c2.l6" 6 2 "St.Fs.55.06_28_2018" NA 107 148.005 177.955 58.2173757251554 242.23314420278 195.220351727425 195.220351727425 51.2173757251554 249.23314420278 198.015768477625 201.729679896591 200.819980525369 79.2532954126573 78.9639098194363 79.1086026160468 148.005 177.955 162.98 104.959525751127 104.555142853891 104.757334302509 148.825 178.775 163.8 0 1 87 0 1 0 0 0
"163" "c2.l7" 7 2 "St.Fs.55.06_28_2018" 104 118 177.955 207.905 58.0534093449886 243.573183686304 192.719828639427 217.872917303593 51.0534093449886 250.573183686304 201.099025911507 200.819980525369 203.111920687946 78.9639098194363 79.2949593202903 79.1294345698633 177.955 207.905 192.93 104.555142853891 105.189732770656 104.872437812273 178.775 208.725 193.75 1 1 87 4 NA 0 -1 1
