"idD" "idV" "idCNeigh" "distance" "idSectorCN"
"107" "Lz.Fa.73.06_19_18" 124 107 156.466592937071 "c6.l8"
"118" "Lz.Fa.73.06_19_18" 124 118 123.561376122185 "c11.l11"
"119" "Lz.Fa.73.06_19_18" 124 119 163.855100390087 "c3.l10"
"125" "Lz.Fa.73.06_19_18" 124 125 124.825746867952 "c11.l12"
"126" "Lz.Fa.73.06_19_18" 124 126 161.91171477028 "c2.l11"
"131" "Lz.Fa.73.06_19_18" 124 131 140.803260360327 "c11.l14"
"132" "Lz.Fa.73.06_19_18" 124 132 154.615968221298 "c3.l12"
"138" "Lz.Fa.73.06_19_18" 124 138 161.501550839037 "c3.l13"
"141" "Lz.Fa.73.06_19_18" 124 141 155.338092033137 "c11.l15"
"149" "Lz.Fa.73.06_19_18" 124 149 162.108741265023 "c4.l13"
"162" "Lz.Fa.73.06_19_18" 124 162 164.805217355881 "c5.l14"
"169" "Lz.Fa.73.06_19_18" 124 169 173.987098274801 "c11.l16"
"178" "Lz.Fa.73.06_19_18" 124 178 161.497437892647 "c7.l15"
"189" "Lz.Fa.73.06_19_18" 124 189 176.852574167346 "c9.l16"
"57" "Lz.Fa.73.06_19_18" 110 57 175.420252475694 "c15.l7"
"62" "Lz.Fa.73.06_19_18" 110 62 179.218999746053 "c13.l7"
"77" "Lz.Fa.73.06_19_18" 110 77 159.939899693985 "c12.l8"
"93" "Lz.Fa.73.06_19_18" 110 93 150.886008476624 "c11.l8"
"101" "Lz.Fa.73.06_19_18" 110 101 139.994208251128 "c11.l9"
"1041" "Lz.Fa.73.06_19_18" 110 104 140.419157472515 "c11.l9"
"1181" "Lz.Fa.73.06_19_18" 110 118 127.657491893917 "c11.l11"
"1251" "Lz.Fa.73.06_19_18" 110 125 143.460310425415 "c11.l12"
"134" "Lz.Fa.73.06_19_18" 110 134 173.742847391307 "c11.l14"
"137" "Lz.Fa.73.06_19_18" 110 137 181.262003777912 "c12.l15"
"144" "Lz.Fa.73.06_19_18" 110 144 189.177031740438 "c15.l16"
"147" "Lz.Fa.73.06_19_18" 110 147 191.374922063616 "c14.l16"
"6" "Lz.Fa.73.06_19_18" 36 6 142.23777828053 "c12.l1"
"11" "Lz.Fa.73.06_19_18" 36 11 146.117735866511 "c13.l2"
"15" "Lz.Fa.73.06_19_18" 36 15 143.489871609722 "c13.l3"
"19" "Lz.Fa.73.06_19_18" 36 19 171.136095581422 "c6.l1"
"25" "Lz.Fa.73.06_19_18" 36 25 139.612776731476 "c14.l4"
"26" "Lz.Fa.73.06_19_18" 36 26 174.969007934178 "c5.l1"
"40" "Lz.Fa.73.06_19_18" 36 40 139.749314181086 "c14.l5"
"51" "Lz.Fa.73.06_19_18" 36 51 193.530523527153 "c5.l3"
"55" "Lz.Fa.73.06_19_18" 36 55 138.33966985015 "c13.l6"
"66" "Lz.Fa.73.06_19_18" 36 66 149.069352068335 "c12.l7"
"71" "Lz.Fa.73.06_19_18" 36 71 156.145221013575 "c12.l7"
"80" "Lz.Fa.73.06_19_18" 36 80 177.195225929571 "c7.l6"
"83" "Lz.Fa.73.06_19_18" 36 83 165.507389519403 "c11.l8"
"871" "Lz.Fa.73.06_19_18" 36 87 158.957088747404 "c9.l7"
"881" "Lz.Fa.73.06_19_18" 36 88 164.554168585173 "c8.l7"
